时间,力传感器_4_force,力传感器_5_force,掌心_x,掌心_y,掌心
0.0,118,73,5.803693931398417,5.979947229551451,33.839285714285715
0.1,118,73,5.803693931398417,5.979947229551451,33.839285714285715
0.2,118,73,5.803693931398417,5.979947229551451,33.839285714285715
0.3,118,73,5.803693931398417,5.979947229551451,33.839285714285715
0.4,118,73,5.80379746835443,5.983122362869199,33.857142857142854
0.5,118,73,5.80379746835443,5.983122362869199,33.857142857142854
0.6000000000000001,118,73,5.80379746835443,5.983122362869199,33.857142857142854
0.7000000000000001,118,73,5.803265736107453,5.985251514353437,33.901785714285715
0.8,118,73,5.803265736107453,5.985251514353437,33.901785714285715
0.9,118,73,5.803265736107453,5.985251514353437,33.901785714285715
1.0,118,73,5.803373748023194,5.989457037427517,33.875
1.1,118,73,5.803373748023194,5.989457037427517,33.875
1.2000000000000002,118,73,5.803373748023194,5.989457037427517,33.875
1.3,118,73,5.80384919588716,5.9868178223042445,33.86607142857143
1.4,118,73,5.80384919588716,5.9868178223042445,33.86607142857143
1.5,118,73,5.80384919588716,5.9868178223042445,33.86607142857143
1.6,118,73,5.802116402116402,5.991534391534391,33.75
1.7000000000000002,117,73,5.802116402116402,5.991534391534391,33.75
1.8,117,73,5.802116402116402,5.991534391534391,33.75
1.9,117,73,5.799841563242672,6.01214681806179,33.8125
2.0,117,73,5.799841563242672,6.01214681806179,33.8125
2.1,117,73,5.799841563242672,6.01214681806179,33.8125
2.2,117,73,5.800632911392405,6.006329113924051,33.857142857142854
2.3000000000000003,117,73,5.800632911392405,6.006329113924051,33.857142857142854
2.4000000000000004,117,73,5.800632911392405,6.006329113924051,33.857142857142854
2.5,117,73,5.800157977883097,6.010005265929436,33.910714285714285
2.6,117,74,5.800157977883097,6.010005265929436,33.910714285714285
2.7,117,74,5.800157977883097,6.010005265929436,33.910714285714285
2.8000000000000003,117,74,5.800157977883097,6.010005265929436,33.910714285714285
2.9000000000000004,117,74,5.800421274354924,6.006319115323855,33.910714285714285
3.0,117,74,5.800421274354924,6.006319115323855,33.910714285714285
3.1,117,74,5.800421274354924,6.006319115323855,33.910714285714285
3.2,117,74,5.802221047065045,5.990481226864093,33.767857142857146
3.3000000000000003,117,74,5.802221047065045,5.990481226864093,33.767857142857146
3.4000000000000004,117,74,5.802221047065045,5.990481226864093,33.767857142857146
3.5,117,75,5.8036517597247945,5.988885948663667,33.74107142857143
3.6,117,75,5.8036517597247945,5.988885948663667,33.74107142857143
3.7,117,75,5.804238410596026,5.986225165562914,33.705357142857146
3.8,117,75,5.804238410596026,5.986225165562914,33.705357142857146
3.9,117,75,5.804238410596026,5.986225165562914,33.705357142857146
4.0,117,75,5.809789837722799,5.962756052141527,33.5625
4.1000000000000005,117,75,5.809789837722799,5.962756052141527,33.5625
4.2,117,76,5.809789837722799,5.962756052141527,33.5625
4.3,117,76,5.809789837722799,5.962756052141527,33.5625
4.4,117,76,5.810767590618337,5.962686567164179,33.5
4.5,116,76,5.810767590618337,5.962686567164179,33.5
4.6000000000000005,116,76,5.810767590618337,5.962686567164179,33.5
4.7,116,76,5.812615955473098,5.955473098330241,33.6875
4.800000000000001,116,76,5.812615955473098,5.955473098330241,33.6875
4.9,117,76,5.812615955473098,5.955473098330241,33.6875
5.0,116,76,5.8136761197985685,5.949112112377419,33.6875
5.1000000000000005,117,76,5.8136761197985685,5.949112112377419,33.6875
5.2,117,76,5.8136761197985685,5.949112112377419,33.6875
5.300000000000001,116,77,5.814912744579588,5.9397144368059225,33.767857142857146
5.4,116,77,5.814912744579588,5.9397144368059225,33.767857142857146
5.5,116,77,5.814912744579588,5.9397144368059225,33.767857142857146
5.6000000000000005,116,77,5.815335632793844,5.933669408331122,33.651785714285715
5.7,116,77,5.815335632793844,5.933669408331122,33.651785714285715
5.800000000000001,116,77,5.815335632793844,5.933669408331122,33.651785714285715
5.9,116,77,5.816158940397351,5.935894039735099,33.705357142857146
6.0,116,77,5.816158940397351,5.935894039735099,33.705357142857146
6.1000000000000005,116,77,5.816158940397351,5.935894039735099,33.705357142857146
6.2,116,78,5.819148936170213,5.931914893617021,33.57142857142857
6.300000000000001,116,78,5.819148936170213,5.931914893617021,33.57142857142857
6.4,116,78,5.819148936170213,5.931914893617021,33.57142857142857
6.5,116,78,5.818254390633316,5.931346460883448,33.55357142857143
6.6000000000000005,116,78,5.818254390633316,5.931346460883448,33.55357142857143
6.7,115,78,5.818254390633316,5.931346460883448,33.55357142857143
6.800000000000001,115,78,5.818254390633316,5.931346460883448,33.55357142857143
6.9,115,78,5.820260568997607,5.927147035362935,33.580357142857146
7.0,115,78,5.820260568997607,5.927147035362935,33.580357142857146
7.1000000000000005,115,79,5.820260568997607,5.927147035362935,33.580357142857146
7.2,115,79,5.821466809421842,5.92558886509636,33.357142857142854
7.300000000000001,115,79,5.821466809421842,5.92558886509636,33.357142857142854
7.4,115,79,5.818937768240343,5.944742489270387,33.285714285714285
7.5,115,79,5.818937768240343,5.944742489270387,33.285714285714285
7.6,115,79,5.818937768240343,5.944742489270387,33.285714285714285
7.7,114,78,5.818986323411102,5.942075623491553,33.294642857142854
7.800000000000001,115,78,5.818986323411102,5.942075623491553,33.294642857142854
7.9,115,78,5.818986323411102,5.942075623491553,33.294642857142854
8.0,115,78,5.818889187013684,5.940971290582238,33.276785714285715
8.1,115,78,5.818889187013684,5.940971290582238,33.276785714285715
8.200000000000001,115,78,5.818889187013684,5.940971290582238,33.276785714285715
8.3,114,79,5.819689673622258,5.942215088282504,33.375
8.4,114,79,5.819689673622258,5.942215088282504,33.375
8.5,114,79,5.819689673622258,5.942215088282504,33.375
8.6,114,79,5.820032137118372,5.938939475093734,33.339285714285715
8.700000000000001,114,78,5.820032137118372,5.938939475093734,33.339285714285715
8.8,114,78,5.820032137118372,5.938939475093734,33.339285714285715
8.9,114,79,5.819399785637728,5.945337620578778,33.32142857142857
9.0,114,79,5.819399785637728,5.945337620578778,33.32142857142857
9.1,114,79,5.819399785637728,5.945337620578778,33.32142857142857
9.2,114,78,5.819399785637728,5.945337620578778,33.32142857142857
9.3,114,78,5.819737897833646,5.939556031024338,33.38392857142857
9.4,114,78,5.819737897833646,5.939556031024338,33.38392857142857
9.5,114,78,5.819737897833646,5.939556031024338,33.38392857142857
9.6,114,78,5.8199519871965855,5.942384635902908,33.473214285714285
9.7,114,78,5.8199519871965855,5.942384635902908,33.473214285714285
9.8,114,78,5.8199519871965855,5.942384635902908,33.473214285714285
9.9,114,78,5.819488817891374,5.941427050053248,33.535714285714285
10.0,114,78,5.819488817891374,5.941427050053248,33.535714285714285
10.1,114,78,5.819488817891374,5.941427050053248,33.535714285714285
10.2,114,78,5.818761626361945,5.939941536008504,33.598214285714285
10.3,114,78,5.818761626361945,5.939941536008504,33.598214285714285
10.4,113,77,5.818761626361945,5.939941536008504,33.598214285714285
10.5,113,77,5.81931216931217,5.932804232804233,33.75
10.6,113,77,5.81931216931217,5.932804232804233,33.75
10.7,113,77,5.81931216931217,5.932804232804233,33.75
10.8,113,77,5.818229994700583,5.934287228404876,33.69642857142857
10.9,113,76,5.818229994700583,5.934287228404876,33.69642857142857
11.0,113,76,5.818229994700583,5.934287228404876,33.69642857142857
11.1,113,76,5.817412013760254,5.929611008203229,33.74107142857143
11.2,113,76,5.817412013760254,5.929611008203229,33.74107142857143
11.3,112,76,5.817412013760254,5.929611008203229,33.74107142857143
11.4,113,75,5.817412013760254,5.929611008203229,33.74107142857143
11.5,112,75,5.815866277527196,5.930485539931016,33.651785714285715
11.6,112,75,5.815866277527196,5.930485539931016,33.651785714285715
11.7,112,75,5.812181379125302,5.944727662999732,33.276785714285715
11.8,112,74,5.812181379125302,5.944727662999732,33.276785714285715
11.9,111,74,5.812181379125302,5.944727662999732,33.276785714285715
12.0,111,74,5.809176788124157,5.939541160593792,33.080357142857146
12.1,111,74,5.809176788124157,5.939541160593792,33.080357142857146
12.2,111,73,5.809176788124157,5.939541160593792,33.080357142857146
12.3,111,74,5.809176788124157,5.939541160593792,33.080357142857146
12.4,110,74,5.797676931388438,5.994057266342518,33.05357142857143
12.5,111,74,5.797676931388438,5.994057266342518,33.05357142857143
12.6,111,75,5.797676931388438,5.994057266342518,33.05357142857143
12.7,110,76,5.791247621636314,5.983147594455015,32.848214285714285
12.8,110,76,5.791247621636314,5.983147594455015,32.848214285714285
12.9,110,77,5.791247621636314,5.983147594455015,32.848214285714285
13.0,109,78,5.767676767676767,5.998845598845599,30.9375
13.1,108,78,5.767676767676767,5.998845598845599,30.9375
13.2,108,79,5.767676767676767,5.998845598845599,30.9375
13.3,108,79,5.519642857142857,5.798809523809524,30.0
13.4,107,80,5.519642857142857,5.798809523809524,30.0
