时间,力传感器_4_force,力传感器_5_force,掌心_x,掌心_y,掌心
0.0,83,21,4.034952652244207,6.947109092308876,115.97321428571428
0.1,83,21,4.034952652244207,6.947109092308876,115.97321428571428
0.2,83,21,4.034952652244207,6.947109092308876,115.97321428571428
0.3,83,21,4.032449058054595,6.944867358708189,116.11607142857144
0.4,83,21,4.032449058054595,6.944867358708189,116.11607142857144
0.5,83,21,4.032449058054595,6.944867358708189,116.11607142857144
0.6000000000000001,82,21,4.032119256185646,6.942446595973567,116.19642857142856
0.7000000000000001,82,21,4.032119256185646,6.942446595973567,116.19642857142856
0.8,82,21,4.032119256185646,6.942446595973567,116.19642857142856
0.9,82,21,4.027076781468129,6.934877655902431,116.40178571428572
1.0,82,21,4.027076781468129,6.934877655902431,116.40178571428572
1.1,81,21,4.027076781468129,6.934877655902431,116.40178571428572
1.2000000000000002,82,21,4.027076781468129,6.934877655902431,116.40178571428572
1.3,82,21,4.022055444937969,6.928855873793843,116.58928571428572
1.4,81,21,4.022055444937969,6.928855873793843,116.58928571428572
1.5,81,21,4.022055444937969,6.928855873793843,116.58928571428572
1.6,81,21,4.025823754789272,6.931034482758621,116.51785714285714
1.7000000000000002,81,22,4.025823754789272,6.931034482758621,116.51785714285714
1.8,81,21,4.025823754789272,6.931034482758621,116.51785714285714
1.9,81,21,4.020967248239976,6.930364248546066,116.67857142857144
2.0,81,21,4.020967248239976,6.930364248546066,116.67857142857144
2.1,81,22,4.020967248239976,6.930364248546066,116.67857142857144
2.2,81,22,4.023033363942455,6.933960820324456,116.67857142857144
2.3000000000000003,81,22,4.023033363942455,6.933960820324456,116.67857142857144
2.4000000000000004,81,21,4.023033363942455,6.933960820324456,116.67857142857144
2.5,81,22,4.020116261281934,6.927030748049564,116.73214285714286
2.6,81,22,4.020116261281934,6.927030748049564,116.73214285714286
2.7,81,22,4.020116261281934,6.927030748049564,116.73214285714286
2.8000000000000003,81,22,4.019177872860635,6.929095354523227,116.85714285714286
2.9000000000000004,81,22,4.019177872860635,6.929095354523227,116.85714285714286
3.0,80,22,4.019177872860635,6.929095354523227,116.85714285714286
3.1,80,22,4.018760009151224,6.933882406771906,117.08035714285714
3.2,79,23,4.018760009151224,6.933882406771906,117.08035714285714
3.3000000000000003,79,23,4.018760009151224,6.933882406771906,117.08035714285714
3.4000000000000004,79,23,4.0189428658722886,6.935380384967919,116.89285714285714
3.5,79,22,4.0189428658722886,6.935380384967919,116.89285714285714
3.6,78,23,4.0189428658722886,6.935380384967919,116.89285714285714
3.7,78,23,4.0189428658722886,6.935380384967919,116.89285714285714
3.8,78,24,4.008793393485242,6.9226181373298665,116.76785714285714
3.9,78,23,4.008793393485242,6.9226181373298665,116.76785714285714
4.0,78,23,4.008793393485242,6.9226181373298665,116.76785714285714
4.1000000000000005,78,24,4.022009202453988,6.946779141104295,116.42857142857144
4.2,78,23,4.022009202453988,6.946779141104295,116.42857142857144
4.3,78,25,4.022009202453988,6.946779141104295,116.42857142857144
4.4,78,24,4.026261703585293,6.912765471568851,117.29464285714286
4.5,78,24,4.026261703585293,6.912765471568851,117.29464285714286
4.6000000000000005,78,24,4.026261703585293,6.912765471568851,117.29464285714286
4.7,78,24,4.005205582798944,6.902829121086382,118.34821428571428
4.800000000000001,76,25,4.005205582798944,6.902829121086382,118.34821428571428
4.9,74,26,4.005205582798944,6.902829121086382,118.34821428571428
5.0,73,26,4.019642177388656,6.927217358203274,117.27678571428572
5.1000000000000005,72,25,4.019642177388656,6.927217358203274,117.27678571428572
5.2,70,27,4.019642177388656,6.927217358203274,117.27678571428572
